Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
funder-backend,com.asdc.funderbackend.controller,UserController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
